"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
10000,1,0.25,1,100,4443,1,1,3,1000,100,100,1
25000,1,0.25,1,250,69855,2,1,3,1000,100,100,1
50000,1,0.25,1,500,24560,3,1,3,1000,100,100,1
10000,2,0.25,1,100,57516,4,1,3,1000,100,100,1
25000,2,0.25,1,250,61851,5,1,3,1000,100,100,1
50000,2,0.25,1,500,74006,6,1,3,1000,100,100,1
10000,3,0.25,1,100,8869,7,1,3,1000,100,100,1
25000,3,0.25,1,250,82971,8,1,3,1000,100,100,1
50000,3,0.25,1,500,75821,9,1,3,1000,100,100,1
10000,4,0.25,1,100,82823,10,1,3,1000,100,100,1
25000,4,0.25,1,250,4046,11,1,3,1000,100,100,1
50000,4,0.25,1,500,22393,12,1,3,1000,100,100,1
10000,5,0.25,1,100,50163,13,1,3,1000,100,100,1
25000,5,0.25,1,250,34793,14,1,3,1000,100,100,1
50000,5,0.25,1,500,50256,15,1,3,1000,100,100,1
10000,6,0.25,1,100,90147,16,1,3,1000,100,100,1
25000,6,0.25,1,250,28901,17,1,3,1000,100,100,1
50000,6,0.25,1,500,41361,18,1,3,1000,100,100,1
10000,7,0.25,1,100,75701,19,1,3,1000,100,100,1
25000,7,0.25,1,250,51450,20,1,3,1000,100,100,1
50000,7,0.25,1,500,69081,21,1,3,1000,100,100,1
10000,8,0.25,1,100,30930,22,1,3,1000,100,100,1
25000,8,0.25,1,250,78158,23,1,3,1000,100,100,1
50000,8,0.25,1,500,49123,24,1,3,1000,100,100,1
10000,9,0.25,1,100,3878,25,1,3,1000,100,100,1
25000,9,0.25,1,250,35806,26,1,3,1000,100,100,1
50000,9,0.25,1,500,85389,27,1,3,1000,100,100,1
10000,10,0.25,1,100,76299,28,1,3,1000,100,100,1
25000,10,0.25,1,250,13798,29,1,3,1000,100,100,1
50000,10,0.25,1,500,34792,30,1,3,1000,100,100,1
10000,11,0.25,1,100,48585,31,1,3,1000,100,100,1
25000,11,0.25,1,250,44425,32,1,3,1000,100,100,1
50000,11,0.25,1,500,82827,33,1,3,1000,100,100,1
10000,12,0.25,1,100,39373,34,1,3,1000,100,100,1
25000,12,0.25,1,250,14026,35,1,3,1000,100,100,1
50000,12,0.25,1,500,30882,36,1,3,1000,100,100,1
10000,13,0.25,1,100,60920,37,1,3,1000,100,100,1
25000,13,0.25,1,250,55212,38,1,3,1000,100,100,1
50000,13,0.25,1,500,18614,39,1,3,1000,100,100,1
10000,14,0.25,1,100,19406,40,1,3,1000,100,100,1
25000,14,0.25,1,250,76393,41,1,3,1000,100,100,1
50000,14,0.25,1,500,56970,42,1,3,1000,100,100,1
10000,15,0.25,1,100,54881,43,1,3,1000,100,100,1
25000,15,0.25,1,250,89015,44,1,3,1000,100,100,1
50000,15,0.25,1,500,43465,45,1,3,1000,100,100,1
10000,16,0.25,1,100,84339,46,1,3,1000,100,100,1
25000,16,0.25,1,250,71131,47,1,3,1000,100,100,1
50000,16,0.25,1,500,54653,48,1,3,1000,100,100,1
10000,17,0.25,1,100,89163,49,1,3,1000,100,100,1
25000,17,0.25,1,250,86723,50,1,3,1000,100,100,1
50000,17,0.25,1,500,65809,51,1,3,1000,100,100,1
10000,18,0.25,1,100,41279,52,1,3,1000,100,100,1
25000,18,0.25,1,250,65788,53,1,3,1000,100,100,1
50000,18,0.25,1,500,77807,54,1,3,1000,100,100,1
10000,19,0.25,1,100,94493,55,1,3,1000,100,100,1
25000,19,0.25,1,250,22770,56,1,3,1000,100,100,1
50000,19,0.25,1,500,95135,57,1,3,1000,100,100,1
10000,20,0.25,1,100,257,58,1,3,1000,100,100,1
25000,20,0.25,1,250,45658,59,1,3,1000,100,100,1
50000,20,0.25,1,500,30432,60,1,3,1000,100,100,1
10000,21,0.25,1,100,72005,61,1,3,1000,100,100,1
25000,21,0.25,1,250,84256,62,1,3,1000,100,100,1
50000,21,0.25,1,500,45958,63,1,3,1000,100,100,1
10000,22,0.25,1,100,44367,64,1,3,1000,100,100,1
25000,22,0.25,1,250,12911,65,1,3,1000,100,100,1
50000,22,0.25,1,500,45297,66,1,3,1000,100,100,1
10000,23,0.25,1,100,74751,67,1,3,1000,100,100,1
25000,23,0.25,1,250,83524,68,1,3,1000,100,100,1
50000,23,0.25,1,500,80737,69,1,3,1000,100,100,1
10000,24,0.25,1,100,90942,70,1,3,1000,100,100,1
25000,24,0.25,1,250,43439,71,1,3,1000,100,100,1
50000,24,0.25,1,500,50179,72,1,3,1000,100,100,1
10000,25,0.25,1,100,90703,73,1,3,1000,100,100,1
25000,25,0.25,1,250,94897,74,1,3,1000,100,100,1
50000,25,0.25,1,500,81641,75,1,3,1000,100,100,1
10000,26,0.25,1,100,32295,76,1,3,1000,100,100,1
25000,26,0.25,1,250,39451,77,1,3,1000,100,100,1
50000,26,0.25,1,500,76245,78,1,3,1000,100,100,1
10000,27,0.25,1,100,82813,79,1,3,1000,100,100,1
25000,27,0.25,1,250,35158,80,1,3,1000,100,100,1
50000,27,0.25,1,500,18138,81,1,3,1000,100,100,1
10000,28,0.25,1,100,32333,82,1,3,1000,100,100,1
25000,28,0.25,1,250,1087,83,1,3,1000,100,100,1
50000,28,0.25,1,500,32628,84,1,3,1000,100,100,1
10000,29,0.25,1,100,29761,85,1,3,1000,100,100,1
25000,29,0.25,1,250,40252,86,1,3,1000,100,100,1
50000,29,0.25,1,500,7665,87,1,3,1000,100,100,1
10000,30,0.25,1,100,53118,88,1,3,1000,100,100,1
25000,30,0.25,1,250,35601,89,1,3,1000,100,100,1
50000,30,0.25,1,500,39289,90,1,3,1000,100,100,1
10000,31,0.25,1,100,74514,91,1,3,1000,100,100,1
25000,31,0.25,1,250,72623,92,1,3,1000,100,100,1
50000,31,0.25,1,500,99666,93,1,3,1000,100,100,1
10000,32,0.25,1,100,78256,94,1,3,1000,100,100,1
25000,32,0.25,1,250,68418,95,1,3,1000,100,100,1
50000,32,0.25,1,500,17518,96,1,3,1000,100,100,1
10000,33,0.25,1,100,73291,97,1,3,1000,100,100,1
25000,33,0.25,1,250,72754,98,1,3,1000,100,100,1
50000,33,0.25,1,500,4416,99,1,3,1000,100,100,1
10000,34,0.25,1,100,94166,100,1,3,1000,100,100,1
25000,34,0.25,1,250,41244,101,1,3,1000,100,100,1
50000,34,0.25,1,500,38203,102,1,3,1000,100,100,1
10000,35,0.25,1,100,10165,103,1,3,1000,100,100,1
25000,35,0.25,1,250,4359,104,1,3,1000,100,100,1
50000,35,0.25,1,500,18835,105,1,3,1000,100,100,1
10000,36,0.25,1,100,68512,106,1,3,1000,100,100,1
25000,36,0.25,1,250,93397,107,1,3,1000,100,100,1
50000,36,0.25,1,500,52664,108,1,3,1000,100,100,1
